"","name","type","allele1","allele2","rpkm","info"
"1","DETROIT562","A","30:01","26:01",117.01,""
"2","DETROIT562","DQA1","01:02'","01:02",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"3","DETROIT562","C","06:02","01:02",68.83,""
"4","DETROIT562","DQB1","03:04'","03:04",0.09,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"5","DETROIT562","DRB1","11:01'","07:01",0.57,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"6","DETROIT562","B","13:02","55:01",69.71,""
"7","SNU1041","B","15:01'","27:05",10.47,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"8","SNU1041","A","02:01","02:01",114.05,""
"9","SNU1041","DRB1","11:01","11:01",0.03,""
"10","SNU1041","DQB1","05:01","05:01",0.11,""
"11","SNU1041","DQA1","05:02'","05:02",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"12","SNU1041","C","04:01","01:02",91.45,""
"13","BHY","C","01:02","01:02",216.16,""
"14","BHY","B","54:01","51:01",51.49,""
"15","BHY","DQB1","05:01","04:01'",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"16","BHY","A","24:02","24:02",252.14,""
"17","BICR16","DRB1","11:01'","04:02'",0.1,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"18","BICR16","B","07:02","07:02",86.38,""
"19","BICR16","C","07:02","07:02",103.37,""
"20","BICR16","DQA1","05:02'","03:02'",0.05,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"21","BICR16","A","03:01","11:01",67.82,""
"22","BICR22","DQB1","06:03'","03:02'",2.67,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"23","BICR22","DQA1","01:02'","01:02",0.09,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"24","BICR22","A","01:01","01:01",10.68,""
"25","BICR22","B","08:01","08:01",412.42,""
"26","BICR22","DRB1","15:06'","11:04'",0.15,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"27","BICR22","C","07:01'","07:01",227.56,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"28","BICR31","A","32:01'","32:01",74.8,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"29","BICR31","DQA1","03:02'","03:02",1.27,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"30","BICR31","C","07:02","07:02",154.83,""
"31","BICR31","B","07:02","07:02",74.84,""
"32","BICR31","DRB1","04:04'","14:103",2.02,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"33","BICR31","DQB1","03:03'","03:03",0.27,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"34","BICR56","DQA1","01:02'","03:02'",0.2,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"35","BICR56","C","06:02","07:02",83.06,""
