"","name.cell_line","name.virus","code","genome_coverage"
"1","SNU213","Human endogenous retrovirus K113 complete genome","NC_022518.1",80.247
"2","WM1799","Human endogenous retrovirus K113 complete genome","NC_022518.1",96.02
"3","HPAC","Human endogenous retrovirus K113 complete genome","NC_022518.1",78.495
"4","NCIH1395","Human endogenous retrovirus K113 complete genome","NC_022518.1",82.464
"5","LS180","Human endogenous retrovirus K113 complete genome","NC_022518.1",52.418
"6","SUDHL6","Human endogenous retrovirus K113 complete genome","NC_022518.1",43.866
"7","SAOS2","Human endogenous retrovirus K113 complete genome","NC_022518.1",27.47
"8","SNU387","Human endogenous retrovirus K113 complete genome","NC_022518.1",67.863
"9","HCC1143","Human endogenous retrovirus K113 complete genome","NC_022518.1",24.134
"10","M059K","Human endogenous retrovirus K113 complete genome","NC_022518.1",80.543
"11","RPMI2650","Human endogenous retrovirus K113 complete genome","NC_022518.1",44.288
"12","GP5D","Human endogenous retrovirus K113 complete genome","NC_022518.1",54.899
"13","JL1","Human endogenous retrovirus K113 complete genome","NC_022518.1",32.781
"14","PECAPJ15","Human endogenous retrovirus K113 complete genome","NC_022518.1",59.322
"15","ML2","Human endogenous retrovirus K113 complete genome","NC_022518.1",48.733
"16","CHP212","Human endogenous retrovirus K113 complete genome","NC_022518.1",47.171
"17","HNT34","Human endogenous retrovirus K113 complete genome","NC_022518.1",22.793
"18","NCIH2066","Human endogenous retrovirus K113 complete genome","NC_022518.1",4.92
"19","JHUEM3","Human endogenous retrovirus K113 complete genome","NC_022518.1",88.619
"20","NCIH2081","Human endogenous retrovirus K113 complete genome","NC_022518.1",36.772
"21","NCIH3255","Human endogenous retrovirus K113 complete genome","NC_022518.1",97.466
"22","HUH6","Human endogenous retrovirus K113 complete genome","NC_022518.1",72.92
"23","RS5","Human endogenous retrovirus K113 complete genome","NC_022518.1",58.055
"24","JVM2","Human endogenous retrovirus K113 complete genome","NC_022518.1",90.446
"25","CL14","Human endogenous retrovirus K113 complete genome","NC_022518.1",41.322
"26","HCC2270","Human endogenous retrovirus K113 complete genome","NC_022518.1",75.876
"27","SNU423","Human endogenous retrovirus K113 complete genome","NC_022518.1",53.136
"28","U698M","Human endogenous retrovirus K113 complete genome","NC_022518.1",25.56
"29","NCIH1341","Human endogenous retrovirus K113 complete genome","NC_022518.1",66.913
"30","NCIH847","Human endogenous retrovirus K113 complete genome","NC_022518.1",33.066
